Date,Adj Close,Close,High,Low,Open,Volume
2022-05-12,139.88327026367188,142.55999755859375,146.1999969482422,138.8000030517578,142.77000427246094,182602000
2022-05-13,144.347900390625,147.11000061035156,148.10000610351562,143.11000061035156,144.58999633789062,113990900
2022-05-16,142.80734252929688,145.5399932861328,147.52000427246094,144.17999267578125,145.5500030517578,86643800
2022-05-17,146.4378662109375,149.24000549316406,149.77000427246094,146.67999267578125,148.86000061035156,78336300
2022-05-18,138.1759796142578,140.82000732421875,147.36000061035156,139.89999389648438,146.85000610351562,109742900
2022-05-19,134.7711181640625,137.35000610351562,141.66000366210938,136.60000610351562,139.8800048828125,136095600
2022-05-20,135.00660705566406,137.58999633789062,140.6999969482422,132.61000061035156,139.08999633789062,137426100
2022-05-23,140.4229736328125,143.11000061035156,143.25999450683594,137.64999389648438,137.7899932861328,117726300
2022-05-24,137.72457885742188,140.36000061035156,141.97000122070312,137.3300018310547,140.80999755859375,104132700
2022-05-25,137.88162231445312,140.52000427246094,141.7899932861328,138.33999633789062,138.42999267578125,92482700
2022-05-26,141.08041381835938,143.77999877929688,144.33999633789062,137.13999938964844,137.38999938964844,90601500
2022-05-27,146.8303680419922,149.63999938964844,149.67999267578125,145.25999450683594,145.38999938964844,90978500
2022-05-31,146.04537963867188,148.83999633789062,150.66000366210938,146.83999633789062,149.07000732421875,103718400
2022-06-01,145.91783142089844,148.7100067138672,151.74000549316406,147.67999267578125,149.89999389648438,74286600
2022-06-02,148.37088012695312,151.2100067138672,151.27000427246094,146.86000061035156,147.8300018310547,72348100
2022-06-03,142.65037536621094,145.3800048828125,147.97000122070312,144.4600067138672,146.89999389648438,88570300
2022-06-06,143.39608764648438,146.13999938964844,148.57000732421875,144.89999389648438,147.02999877929688,71598400
2022-06-07,145.91783142089844,148.7100067138672,149.0,144.10000610351562,144.35000610351562,67808200
2022-06-08,145.18194580078125,147.9600067138672,149.8699951171875,147.4600067138672,148.5800018310547,53950200
2022-06-09,139.96177673339844,142.63999938964844,147.9499969482422,142.52999877929688,147.0800018310547,69473000
2022-06-10,134.5552520751953,137.1300048828125,140.75999450683594,137.05999755859375,140.27999877929688,91437900
2022-06-13,129.40380859375,131.8800048828125,135.1999969482422,131.44000244140625,132.8699951171875,122207100
2022-06-14,130.2672882080078,132.75999450683594,133.88999938964844,131.47999572753906,133.1300048828125,84784300
2022-06-15,132.88717651367188,135.42999267578125,137.33999633789062,132.16000366210938,134.2899932861328,91533000
2022-06-16,127.61798858642578,130.05999755859375,132.38999938964844,129.0399932861328,132.0800018310547,108123900
2022-06-17,129.08982849121094,131.55999755859375,133.0800018310547,129.80999755859375,130.07000732421875,134520300
2022-06-21,133.31890869140625,135.8699951171875,137.05999755859375,133.32000732421875,133.4199981689453,81000500
2022-06-22,132.80868530273438,135.35000610351562,137.75999450683594,133.91000366210938,134.7899932861328,73409200
2022-06-23,135.67385864257812,138.27000427246094,138.58999633789062,135.6300048828125,136.82000732421875,72433800
2022-06-24,139.00018310546875,141.66000366210938,141.91000366210938,139.77000427246094,139.89999389648438,89116800
2022-06-27,139.00018310546875,141.66000366210938,143.49000549316406,140.97000122070312,142.6999969482422,70207900
2022-06-28,134.85946655273438,137.44000244140625,143.4199981689453,137.32000732421875,142.1300048828125,67083400
2022-06-29,136.61582946777344,139.22999572753906,140.6699981689453,136.6699981689453,137.4600067138672,66242400
2022-06-30,134.1529541015625,136.72000122070312,138.3699951171875,133.77000427246094,137.25,98964500
2022-07-01,136.32147216796875,138.92999267578125,139.0399932861328,135.66000366210938,136.0399932861328,71051600
2022-07-05,138.90206909179688,141.55999755859375,141.61000061035156,136.92999267578125,137.77000427246094,73353800
2022-07-06,140.23654174804688,142.9199981689453,144.1199951171875,141.0800018310547,141.35000610351562,74064300
2022-07-07,143.6021270751953,146.35000610351562,146.5500030517578,143.27999877929688,143.2899932861328,66253700
2022-07-08,144.27919006347656,147.0399932861328,147.5500030517578,145.0,145.25999450683594,64547800
2022-07-11,142.14991760253906,144.8699951171875,146.63999938964844,143.77999877929688,145.6699981689453,63141600
2022-07-12,143.12135314941406,145.86000061035156,148.4499969482422,145.0500030517578,145.75999450683594,77588800
2022-07-13,142.75830078125,145.49000549316406,146.4499969482422,142.1199951171875,142.99000549316406,71185600
2022-07-14,145.68231201171875,148.47000122070312,148.9499969482422,143.25,144.0800018310547,78140700
2022-07-15,147.35043334960938,150.1699981689453,150.86000061035156,148.1999969482422,149.77999877929688,76259900
2022-07-18,144.3086395263672,147.07000732421875,151.57000732421875,146.6999969482422,150.74000549316406,81420900
2022-07-19,148.1648712158203,151.0,151.22999572753906,146.91000366210938,147.9199981689453,82982400
2022-07-20,150.16651916503906,153.0399932861328,153.72000122070312,150.3699951171875,151.1199951171875,64823400
2022-07-21,152.43316650390625,155.35000610351562,155.57000732421875,151.94000244140625,154.5,65086600
2022-07-22,151.1968231201172,154.08999633789062,156.27999877929688,153.41000366210938,155.38999938964844,66675400
2022-07-25,150.0782012939453,152.9499969482422,155.0399932861328,152.27999877929688,154.00999450683594,53623900
2022-07-26,148.75357055664062,151.60000610351562,153.08999633789062,150.8000030517578,152.25999450683594,55138700
2022-07-27,153.8461456298828,156.7899932861328,157.3300018310547,152.16000366210938,152.5800018310547,78620700
2022-07-28,154.3956298828125,157.35000610351562,157.63999938964844,154.41000366210938,156.97999572753906,81378700
2022-07-29,159.45872497558594,162.50999450683594,163.6300048828125,159.5,161.24000549316406,101786900
2022-08-01,158.4774932861328,161.50999450683594,163.58999633789062,160.88999938964844,161.00999450683594,67829400
2022-08-02,157.0056610107422,160.00999450683594,162.41000366210938,159.6300048828125,160.10000610351562,59907000
2022-08-03,163.01077270507812,166.1300048828125,166.58999633789062,160.75,160.83999633789062,82507500
2022-08-04,162.69674682617188,165.80999755859375,167.19000244140625,164.42999267578125,166.00999450683594,55474100
2022-08-05,162.47079467773438,165.35000610351562,165.85000610351562,163.0,163.2100067138672,56697000
2022-08-08,161.99916076660156,164.8699951171875,167.80999755859375,164.1999969482422,166.3699951171875,60276900
2022-08-09,162.04823303222656,164.9199981689453,165.82000732421875,163.25,164.02000427246094,63135500
2022-08-10,166.29302978515625,169.24000549316406,169.33999633789062,166.89999389648438,167.67999267578125,70170500
2022-08-11,165.55612182617188,168.49000549316406,170.99000549316406,168.19000244140625,170.05999755859375,57149200
2022-08-12,169.1032257080078,172.10000610351562,172.1699981689453,169.39999389648438,169.82000732421875,68039400
2022-08-15,170.17425537109375,173.19000244140625,173.38999938964844,171.35000610351562,171.52000427246094,54091700
2022-08-16,170.01705932617188,173.02999877929688,173.7100067138672,171.66000366210938,172.77999877929688,56377100
2022-08-17,171.51055908203125,174.5500030517578,176.14999389648438,172.57000732421875,172.77000427246094,79542000
2022-08-18,171.11753845214844,174.14999389648438,174.89999389648438,173.1199951171875,173.75,62290100
2022-08-19,168.5333251953125,171.52000427246094,173.74000549316406,171.30999755859375,173.02999877929688,70346300
2022-08-22,164.65211486816406,167.57000732421875,169.86000061035156,167.13999938964844,169.69000244140625,69026800
2022-08-23,164.3179931640625,167.22999572753906,168.7100067138672,166.64999389648438,167.0800018310547,54147100
2022-08-24,164.61279296875,167.52999877929688,168.11000061035156,166.25,167.32000732421875,53841500
2022-08-25,167.06927490234375,170.02999877929688,170.13999938964844,168.35000610351562,168.77999877929688,51218200
2022-08-26,160.77090454101562,163.6199951171875,171.0500030517578,163.55999755859375,170.57000732421875,78961000
2022-08-29,158.5699005126953,161.3800048828125,162.89999389648438,159.82000732421875,161.14999389648438,73314000
2022-08-30,156.14288330078125,158.91000366210938,162.55999755859375,157.72000122070312,162.1300048828125,77906200
2022-08-31,154.48236083984375,157.22000122070312,160.5800018310547,157.13999938964844,160.30999755859375,87991100
2022-09-01,155.20945739746094,157.9600067138672,158.4199981689453,154.6699981689453,156.63999938964844,74229900
2022-09-02,153.09690856933594,155.80999755859375,160.36000061035156,154.97000122070312,159.75,76957800
2022-09-06,151.83917236328125,154.52999877929688,157.08999633789062,153.69000244140625,156.47000122070312,73714800
2022-09-07,153.24427795410156,155.9600067138672,156.6699981689453,153.61000061035156,154.82000732421875,87449600
2022-09-08,151.7704315185547,154.4600067138672,156.36000061035156,152.67999267578125,154.63999938964844,84923800
2022-09-09,154.6297149658203,157.3699951171875,157.82000732421875,154.75,155.47000122070312,68028800
2022-09-12,160.58419799804688,163.42999267578125,164.25999450683594,159.3000030517578,159.58999633789062,104956000
2022-09-13,151.16119384765625,153.83999633789062,160.5399932861328,153.3699951171875,159.89999389648438,122656600
2022-09-14,152.6055908203125,155.30999755859375,157.10000610351562,153.61000061035156,154.7899932861328,87965400
2022-09-15,149.71676635742188,152.3699951171875,155.24000549316406,151.3800048828125,154.64999389648438,90481100
2022-09-16,148.0758819580078,150.6999969482422,151.35000610351562,148.3699951171875,151.2100067138672,162278800
2022-09-19,151.7900390625,154.47999572753906,154.55999755859375,149.10000610351562,149.30999755859375,81474200
2022-09-20,154.16790771484375,156.89999389648438,158.0800018310547,153.0800018310547,153.39999389648438,107689800
2022-09-21,151.04331970214844,153.72000122070312,158.74000549316406,153.60000610351562,157.33999633789062,101696800
2022-09-22,150.08033752441406,152.74000549316406,154.47000122070312,150.91000366210938,152.3800048828125,86652500
2022-09-23,147.810546875,150.42999267578125,151.47000122070312,148.55999755859375,151.19000244140625,96029900
2022-09-26,148.14463806152344,150.77000427246094,153.77000427246094,149.63999938964844,149.66000366210938,93339400
2022-09-27,149.11741638183594,151.75999450683594,154.72000122070312,149.9499969482422,152.74000549316406,84442700
2022-09-28,147.23085021972656,149.83999633789062,150.63999938964844,144.83999633789062,147.63999938964844,146691400
2022-09-29,139.99900817871094,142.47999572753906,146.72000122070312,140.67999267578125,146.10000610351562,128138200
2022-09-30,135.79351806640625,138.1999969482422,143.10000610351562,138.0,141.27999877929688,124925300
2022-10-03,139.9695587158203,142.4499969482422,143.07000732421875,137.69000244140625,138.2100067138672,114311700
2022-10-04,143.55596923828125,146.10000610351562,146.22000122070312,144.25999450683594,145.02999877929688,87830100
2022-10-05,143.8507537841797,146.39999389648438,147.3800048828125,143.00999450683594,144.07000732421875,79471000
2022-10-06,142.89764404296875,145.42999267578125,147.5399932861328,145.22000122070312,145.80999755859375,68402200
2022-10-07,137.650634765625,140.08999633789062,143.10000610351562,139.4499969482422,142.5399932861328,85925600
2022-10-10,137.97488403320312,140.4199981689453,141.88999938964844,138.57000732421875,140.4199981689453,74899000
2022-10-11,136.55995178222656,138.97999572753906,141.35000610351562,138.22000122070312,139.89999389648438,77033700
2022-10-12,135.93106079101562,138.33999633789062,140.36000061035156,138.16000366210938,139.1300048828125,70433700
2022-10-13,140.5001220703125,142.99000549316406,143.58999633789062,134.3699951171875,134.99000549316406,113224000
2022-10-14,135.97039794921875,138.3800048828125,144.52000427246094,138.19000244140625,144.30999755859375,88598000
2022-10-17,139.9302215576172,142.41000366210938,142.89999389648438,140.27000427246094,141.07000732421875,85250900
2022-10-18,141.2469024658203,143.75,146.6999969482422,140.61000061035156,145.49000549316406,99136600
2022-10-19,141.35501098632812,143.86000061035156,144.9499969482422,141.5,141.69000244140625,61758300
2022-10-20,140.89312744140625,143.38999938964844,145.88999938964844,142.64999389648438,143.02000427246094,64522000
2022-10-21,144.70558166503906,147.27000427246094,147.85000610351562,142.64999389648438,142.8699951171875,86548600
2022-10-24,146.84765625,149.4499969482422,150.22999572753906,146.0,147.19000244140625,75981900
2022-10-25,149.68731689453125,152.33999633789062,152.49000549316406,149.36000061035156,150.08999633789062,74732300
2022-10-26,146.74937438964844,149.35000610351562,151.99000549316406,148.0399932861328,150.9600067138672,88194300
2022-10-27,142.27862548828125,144.8000030517578,149.0500030517578,144.1300048828125,148.07000732421875,109180200
2022-10-28,153.0281219482422,155.74000549316406,157.5,147.82000732421875,148.1999969482422,164762400
2022-10-31,150.669921875,153.33999633789062,154.24000549316406,151.9199981689453,153.16000366210938,97943200
2022-11-01,148.02671813964844,150.64999389648438,155.4499969482422,149.1300048828125,155.0800018310547,80379300
2022-11-02,142.50457763671875,145.02999877929688,152.1699981689453,145.0,148.9499969482422,93604600
2022-11-03,136.46170043945312,138.8800048828125,142.8000030517578,138.75,142.05999755859375,97918500
2022-11-04,136.19595336914062,138.3800048828125,142.6699981689453,134.3800048828125,142.08999633789062,140814800
2022-11-07,136.72744750976562,138.9199981689453,139.14999389648438,135.6699981689453,137.11000061035156,83374600
2022-11-08,137.2982635498047,139.5,141.42999267578125,137.49000549316406,140.41000366210938,89908500
2022-11-09,132.74136352539062,134.8699951171875,138.5500030517578,134.58999633789062,138.5,74917800
2022-11-10,144.55194091796875,146.8699951171875,146.8699951171875,139.5,141.24000549316406,118854000
2022-11-11,147.33729553222656,149.6999969482422,150.00999450683594,144.3699951171875,145.82000732421875,93979700
2022-11-14,145.93968200683594,148.27999877929688,150.27999877929688,147.42999267578125,148.97000122070312,73374100
2022-11-15,147.6719207763672,150.0399932861328,153.58999633789062,148.55999755859375,152.22000122070312,89868300
2022-11-16,146.44168090820312,148.7899932861328,149.8699951171875,147.2899932861328,149.1300048828125,64218300
2022-11-17,148.34120178222656,150.72000122070312,151.47999572753906,146.14999389648438,146.42999267578125,80389400
2022-11-18,148.9021759033203,151.2899932861328,152.6999969482422,149.97000122070312,152.30999755859375,74829600
2022-11-21,145.67393493652344,148.00999450683594,150.3699951171875,147.72000122070312,150.16000366210938,58724100
2022-11-22,147.80972290039062,150.17999267578125,150.4199981689453,146.92999267578125,148.1300048828125,51804100
2022-11-23,148.6856689453125,151.07000732421875,151.8300018310547,149.33999633789062,149.4499969482422,58301400
2022-11-25,145.7723846435547,148.11000061035156,148.8800048828125,147.1199951171875,148.30999755859375,35195900
2022-11-28,141.94378662109375,144.22000122070312,146.63999938964844,143.3800048828125,145.13999938964844,69246000
2022-11-29,138.94190979003906,141.1699981689453,144.80999755859375,140.35000610351562,144.2899932861328,83763800
2022-11-30,145.69366455078125,148.02999877929688,148.72000122070312,140.5500030517578,141.39999389648438,111380900
2022-12-01,145.96922302246094,148.30999755859375,149.1300048828125,146.61000061035156,148.2100067138672,71250400
2022-12-02,145.4770965576172,147.80999755859375,148.0,145.64999389648438,145.9600067138672,65447400
2022-12-05,144.31573486328125,146.6300048828125,150.9199981689453,145.77000427246094,147.77000427246094,68826400
2022-12-06,140.65444946289062,142.91000366210938,147.3000030517578,141.9199981689453,147.07000732421875,64727200
2022-12-07,138.71554565429688,140.94000244140625,143.3699951171875,140.0,142.19000244140625,69721100
2022-12-08,140.39852905273438,142.64999389648438,143.52000427246094,141.10000610351562,142.36000061035156,62128300
2022-12-09,139.9163055419922,142.16000366210938,145.57000732421875,140.89999389648438,142.33999633789062,76097000
2022-12-12,142.2095184326172,144.49000549316406,144.5,141.05999755859375,142.6999969482422,70462700
2022-12-13,143.174072265625,145.47000122070312,149.97000122070312,144.24000549316406,149.5,93886200
2022-12-14,140.94969177246094,143.2100067138672,146.66000366210938,141.16000366210938,145.35000610351562,82291200
2022-12-15,134.3456268310547,136.5,141.8000030517578,136.02999877929688,141.11000061035156,98931900
2022-12-16,132.3870086669922,134.50999450683594,137.64999389648438,133.72999572753906,136.69000244140625,160156900
2022-12-19,130.28079223632812,132.3699951171875,135.1999969482422,131.32000732421875,135.11000061035156,79592600
2022-12-20,130.2119140625,132.3000030517578,133.25,129.88999938964844,131.38999938964844,77432800
2022-12-21,133.31222534179688,135.4499969482422,136.80999755859375,132.75,132.97999572753906,85928000
2022-12-22,130.1430206298828,132.22999572753906,134.55999755859375,130.3000030517578,134.35000610351562,77852100
2022-12-23,129.77886962890625,131.86000061035156,132.4199981689453,129.63999938964844,130.9199981689453,63814900
2022-12-27,127.9777603149414,130.02999877929688,131.41000366210938,128.72000122070312,131.3800048828125,69007800
2022-12-28,124.05070495605469,126.04000091552734,131.02999877929688,125.87000274658203,129.6699981689453,85438400
2022-12-29,127.56439971923828,129.61000061035156,130.47999572753906,127.7300033569336,127.98999786376953,75703700
2022-12-30,127.87933349609375,129.92999267578125,129.9499969482422,127.43000030517578,128.41000366210938,77034200
2023-01-03,123.09602355957031,125.06999969482422,130.89999389648438,124.16999816894531,130.27999877929688,112117500
2023-01-04,124.36566925048828,126.36000061035156,128.66000366210938,125.08000183105469,126.88999938964844,89113600
2023-01-05,123.04682159423828,125.0199966430664,127.7699966430664,124.76000213623047,127.12999725341797,80962700
2023-01-06,127.57421112060547,129.6199951171875,130.2899932861328,124.88999938964844,126.01000213623047,87754700
2023-01-09,128.09584045410156,130.14999389648438,133.41000366210938,129.88999938964844,130.47000122070312,70790800
2023-01-10,128.66671752929688,130.72999572753906,131.25999450683594,128.1199951171875,130.25999450683594,63896200
2023-01-11,131.3831024169922,133.49000549316406,133.50999450683594,130.4600067138672,131.25,69458900
2023-01-12,131.3043975830078,133.41000366210938,134.25999450683594,131.44000244140625,133.8800048828125,71379600
2023-01-13,132.63308715820312,134.75999450683594,134.9199981689453,131.66000366210938,132.02999877929688,57809700
2023-01-17,133.7944793701172,135.94000244140625,137.2899932861328,134.1300048828125,134.8300018310547,63646600
2023-01-18,133.0760040283203,135.2100067138672,138.61000061035156,135.02999877929688,136.82000732421875,69672800
2023-01-19,133.1350555419922,135.27000427246094,136.25,133.77000427246094,134.0800018310547,58280400
2023-01-20,135.69400024414062,137.8699951171875,138.02000427246094,134.22000122070312,135.27999877929688,80223600
2023-01-23,138.8828887939453,141.11000061035156,143.32000732421875,137.89999389648438,138.1199951171875,81760300
2023-01-24,140.2804412841797,142.52999877929688,143.16000366210938,140.3000030517578,140.30999755859375,66435100
2023-01-25,139.62103271484375,141.86000061035156,142.42999267578125,138.80999755859375,140.88999938964844,65799300
2023-01-26,141.68788146972656,143.9600067138672,144.25,141.89999389648438,143.1699981689453,54105100
2023-01-27,143.62677001953125,145.92999267578125,147.22999572753906,143.0800018310547,143.16000366210938,70555800
2023-01-30,140.7430419921875,143.0,145.5500030517578,142.85000610351562,144.9600067138672,64015300
2023-01-31,142.01266479492188,144.2899932861328,144.33999633789062,142.27999877929688,142.6999969482422,65874500
2023-02-01,143.1346893310547,145.42999267578125,146.61000061035156,141.32000732421875,143.97000122070312,77663600
2023-02-02,148.43960571289062,150.82000732421875,151.17999267578125,148.1699981689453,148.89999389648438,118339000
2023-02-03,152.06150817871094,154.5,157.3800048828125,147.8300018310547,148.02999877929688,154357300
2023-02-06,149.33523559570312,151.72999572753906,153.10000610351562,150.77999877929688,152.57000732421875,69858300
2023-02-07,152.20913696289062,154.64999389648438,155.22999572753906,150.63999938964844,150.63999938964844,83322600
2023-02-08,149.5222625732422,151.9199981689453,154.5800018310547,151.1699981689453,153.8800048828125,64120100
2023-02-09,148.48880004882812,150.8699951171875,154.3300018310547,150.4199981689453,153.77999877929688,56007100
2023-02-10,148.85353088378906,151.00999450683594,151.33999633789062,149.22000122070312,149.4600067138672,57450700
2023-02-13,151.6529998779297,153.85000610351562,154.25999450683594,150.9199981689453,150.9499969482422,62199000
2023-02-14,151.01222229003906,153.1999969482422,153.77000427246094,150.86000061035156,152.1199951171875,61707600
2023-02-15,153.1118621826172,155.3300018310547,155.5,152.8800048828125,153.11000061035156,65573800
2023-02-16,151.5149688720703,153.7100067138672,156.3300018310547,153.35000610351562,153.50999450683594,68167900
2023-02-17,150.37156677246094,152.5500030517578,153.0,150.85000610351562,152.35000610351562,59144100
2023-02-21,146.3596954345703,148.47999572753906,151.3000030517578,148.41000366210938,150.1999969482422,58867200
2023-02-22,146.78353881835938,148.91000366210938,149.9499969482422,147.16000366210938,148.8699951171875,51011300
2023-02-23,147.2665252685547,149.39999389648438,150.33999633789062,147.24000549316406,150.08999633789062,48394200
2023-02-24,144.614990234375,146.7100067138672,147.19000244140625,145.72000122070312,147.11000061035156,55469600
2023-02-27,145.80767822265625,147.9199981689453,149.1699981689453,147.4499969482422,147.7100067138672,44998500
2023-02-28,145.30496215820312,147.41000366210938,149.0800018310547,146.8300018310547,147.0500030517578,50547000
2023-03-01,143.2349395751953,145.30999755859375,147.22999572753906,145.00999450683594,146.8300018310547,55479000
2023-03-02,143.8263702392578,145.91000366210938,146.7100067138672,143.89999389648438,144.3800048828125,52238100
2023-03-03,148.87327575683594,151.02999877929688,151.11000061035156,147.3300018310547,148.0399932861328,70732300
2023-03-06,151.63330078125,153.8300018310547,156.3000030517578,153.4600067138672,153.7899932861328,87558000
2023-03-07,149.4351043701172,151.60000610351562,154.02999877929688,151.1300048828125,153.6999969482422,56182000
2023-03-08,150.6869354248047,152.8699951171875,153.47000122070312,151.8300018310547,152.80999755859375,47204800
2023-03-09,148.4395294189453,150.58999633789062,154.5399932861328,150.22999572753906,153.55999755859375,53833600
2023-03-10,146.37936401367188,148.5,150.94000244140625,147.61000061035156,150.2100067138672,68572400
2023-03-13,148.3212432861328,150.47000122070312,153.13999938964844,147.6999969482422,147.80999755859375,84457100
2023-03-14,150.4109649658203,152.58999633789062,153.39999389648438,150.10000610351562,151.27999877929688,73695900
2023-03-15,150.80526733398438,152.99000549316406,153.25,149.9199981689453,151.19000244140625,77167900
2023-03-16,153.62445068359375,155.85000610351562,156.4600067138672,151.63999938964844,152.16000366210938,76161100
2023-03-17,152.78656005859375,155.0,156.74000549316406,154.27999877929688,156.0800018310547,98944600
2023-03-20,155.1522979736328,157.39999389648438,157.82000732421875,154.14999389648438,155.07000732421875,73641400
2023-03-21,157.00543212890625,159.27999877929688,159.39999389648438,156.5399932861328,157.32000732421875,73938300
2023-03-22,155.5761260986328,157.8300018310547,162.13999938964844,157.80999755859375,159.3000030517578,75701800
2023-03-23,156.66041564941406,158.92999267578125,161.5500030517578,157.67999267578125,158.8300018310547,67622100
2023-03-24,157.9615936279297,160.25,160.33999633789062,157.85000610351562,158.86000061035156,59196500
2023-03-27,156.01971435546875,158.27999877929688,160.77000427246094,157.8699951171875,159.94000244140625,52390300
2023-03-28,155.39869689941406,157.64999389648438,158.49000549316406,155.97999572753906,157.97000122070312,45992200
2023-03-29,158.47418212890625,160.77000427246094,161.0500030517578,159.35000610351562,159.3699951171875,51305700
2023-03-30,160.04147338867188,162.36000061035156,162.47000122070312,161.27000427246094,161.52999877929688,49501700
2023-03-31,162.54518127441406,164.89999389648438,165.0,161.91000366210938,162.44000244140625,68749800
2023-04-03,163.79705810546875,166.1699981689453,166.2899932861328,164.22000122070312,164.27000427246094,56976200
2023-04-04,163.26475524902344,165.6300048828125,166.83999633789062,165.11000061035156,166.60000610351562,46278300
2023-04-05,161.42147827148438,163.75999450683594,165.0500030517578,161.8000030517578,164.74000549316406,51511700
2023-04-06,162.30862426757812,164.66000366210938,164.9600067138672,162.0,162.42999267578125,45390100
2023-04-10,159.7161865234375,162.02999877929688,162.02999877929688,160.0800018310547,161.4199981689453,47716900
2023-04-11,158.5037384033203,160.8000030517578,162.36000061035156,160.50999450683594,162.35000610351562,47644200
2023-04-12,157.81373596191406,160.10000610351562,162.05999755859375,159.77999877929688,161.22000122070312,50133100
2023-04-13,163.1957550048828,165.55999755859375,165.8000030517578,161.4199981689453,161.6300048828125,68445600
2023-04-14,162.8507537841797,165.2100067138672,166.32000732421875,163.82000732421875,164.58999633789062,49386500
2023-04-17,162.87051391601562,165.22999572753906,165.38999938964844,164.02999877929688,165.08999633789062,41516200
2023-04-18,164.09275817871094,166.47000122070312,167.41000366210938,165.64999389648438,166.10000610351562,49923000
2023-04-19,165.2362060546875,167.6300048828125,168.16000366210938,165.5399932861328,165.8000030517578,47720200
2023-04-20,164.2701873779297,166.64999389648438,167.8699951171875,165.55999755859375,166.08999633789062,52456400
2023-04-21,162.66348266601562,165.02000427246094,166.4499969482422,164.49000549316406,165.0500030517578,58337300
2023-04-24,162.9690704345703,165.3300018310547,165.60000610351562,163.88999938964844,165.0,41949600
2023-04-25,161.4313201904297,163.77000427246094,166.30999755859375,163.72999572753906,165.19000244140625,48714100
2023-04-26,161.42147827148438,163.75999450683594,165.27999877929688,162.8000030517578,163.05999755859375,45498800
2023-04-27,166.00506591796875,168.41000366210938,168.55999755859375,165.19000244140625,165.19000244140625,64902300
2023-04-28,167.25692749023438,169.67999267578125,169.85000610351562,167.8800048828125,168.49000549316406,55275900
2023-05-01,167.16819763183594,169.58999633789062,170.4499969482422,168.63999938964844,169.27999877929688,52472900
2023-05-02,166.13320922851562,168.5399932861328,170.35000610351562,167.5399932861328,170.08999633789062,48425700
2023-05-03,165.0587615966797,167.4499969482422,170.9199981689453,167.16000366210938,169.5,65136000
2023-05-04,163.42245483398438,165.7899932861328,167.0399932861328,164.30999755859375,164.88999938964844,81235400
2023-05-05,171.09140014648438,173.57000732421875,174.3000030517578,170.75999450683594,170.97999572753906,113453200
2023-05-08,171.02236938476562,173.5,173.85000610351562,172.11000061035156,172.47999572753906,55962800
2023-05-09,169.31707763671875,171.77000427246094,173.5399932861328,171.60000610351562,173.0500030517578,45326900
2023-05-10,171.08152770996094,173.55999755859375,174.02999877929688,171.89999389648438,173.02000427246094,53724500
2023-05-11,171.26881408691406,173.75,174.58999633789062,172.1699981689453,173.85000610351562,49514700
2023-05-12,170.34092712402344,172.57000732421875,174.05999755859375,171.0,173.6199951171875,45533100
2023-05-15,169.847412109375,172.07000732421875,173.2100067138672,171.47000122070312,173.16000366210938,37266700
2023-05-16,169.847412109375,172.07000732421875,173.13999938964844,171.8000030517578,171.99000549316406,42110300
2023-05-17,170.4593963623047,172.69000244140625,172.92999267578125,170.4199981689453,171.7100067138672,57951600
2023-05-18,172.78892517089844,175.0500030517578,175.24000549316406,172.5800018310547,173.0,65496700
2023-05-19,172.89747619628906,175.16000366210938,176.38999938964844,174.94000244140625,176.38999938964844,55809500
2023-05-22,171.94989013671875,174.1999969482422,174.7100067138672,173.4499969482422,173.97999572753906,43570900
2023-05-23,169.343994140625,171.55999755859375,173.3800048828125,171.27999877929688,173.1300048828125,50747300
2023-05-24,169.62037658691406,171.83999633789062,172.4199981689453,170.52000427246094,171.08999633789062,45143500
2023-05-25,170.75555419921875,172.99000549316406,173.89999389648438,171.69000244140625,172.41000366210938,56058300
2023-05-26,173.16400146484375,175.42999267578125,175.77000427246094,173.11000061035156,173.32000732421875,54835000
2023-05-30,175.0098419189453,177.3000030517578,178.99000549316406,176.57000732421875,176.9600067138672,55964400
2023-05-31,174.96054077148438,177.25,179.35000610351562,176.75999450683594,177.3300018310547,99625300
2023-06-01,177.76380920410156,180.08999633789062,180.1199951171875,176.92999267578125,177.6999969482422,68901800
2023-06-02,178.61270141601562,180.9499969482422,181.77999877929688,179.25999450683594,181.02999877929688,61996900
2023-06-05,177.26039123535156,179.5800018310547,184.9499969482422,178.0399932861328,182.6300048828125,121946500
2023-06-06,176.89520263671875,179.2100067138672,180.1199951171875,177.42999267578125,179.97000122070312,64848400
2023-06-07,175.5231170654297,177.82000732421875,181.2100067138672,177.32000732421875,178.44000244140625,61944600
2023-06-08,178.2376251220703,180.57000732421875,180.83999633789062,177.4600067138672,177.89999389648438,50214900
2023-06-09,178.62257385253906,180.9600067138672,182.22999572753906,180.6300048828125,181.5,48900000
2023-06-12,181.41600036621094,183.7899932861328,183.88999938964844,180.97000122070312,181.27000427246094,54274900
2023-06-13,180.9422149658203,183.30999755859375,184.14999389648438,182.44000244140625,182.8000030517578,54929100
2023-06-14,181.57395935058594,183.9499969482422,184.38999938964844,182.02000427246094,183.3699951171875,57462900
2023-06-15,183.60733032226562,186.00999450683594,186.52000427246094,183.77999877929688,183.9600067138672,65433200
2023-06-16,182.53143310546875,184.9199981689453,186.99000549316406,184.27000427246094,186.72999572753906,101256200
2023-06-20,182.62025451660156,185.00999450683594,186.10000610351562,184.41000366210938,184.41000366210938,49799100
2023-06-21,181.58383178710938,183.9600067138672,185.41000366210938,182.58999633789062,184.89999389648438,49515700
